Unnamed: 0_x,gender,dob,commune,created_at,modified_at,department,education_level,university,study_domain,current_employed,formal_sector_job,have_computer_home,internet_at_home,hear_AA_1,after_AA,quest_id,Commune_en,Commune_FR,Commune_Id,Departement,ADM1_PCODE,Unnamed: 0_y,key,values
11,female,30/12/1994,HT0111,2021-02-17,2021-02-17T04:35:17.193835Z,HT01,Other,unknown,['item1'],Yes,Yes,Yes,Yes,Facebook,Finding a job/internship,905f36c8-ce95-11eb-bef0-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,10,item1,Computer Science
12,male,09/05/1992,HT0111,2021-02-17,2021-02-17T08:35:45.761679Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),['item6'],No,unknown,Yes,Yes,Friend,Training to start my own company,905f36c9-ce95-11eb-aa33-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,11,item6,Management
13,female,3 aout 1977,HT0111,2021-02-17,2021-02-17T12:13:45.466785Z,HT01,unknown,unknown,"['item6', 'other']",Yes,Yes,Yes,Yes,Facebook,Mentorship,905f36ca-ce95-11eb-9411-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,12,item6,Management
13,female,3 aout 1977,HT0111,2021-02-17,2021-02-17T12:13:45.466785Z,HT01,unknown,unknown,"['item6', 'other']",Yes,Yes,Yes,Yes,Facebook,Mentorship,905f36ca-ce95-11eb-9411-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,13,other,other
14,male,26/03/1992,HT0111,2021-02-17,2021-02-17T13:37:28.014070Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),['item1'],Yes,Yes,Yes,Yes,Facebook,Improving my data analysis skills,905f5dbf-ce95-11eb-a1fb-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,14,item1,Computer Science
15,male,01/11/1994,HT0111,2021-02-17,2021-02-17T14:14:27.915598Z,HT01,Other,unknown,['other'],No,unknown,Yes,Yes,WhatsApp,Switching careers,905f5dc0-ce95-11eb-8056-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,15,other,other
16,female,19/01/1999,HT0111,2021-02-17,2021-02-17T15:07:25.936904Z,HT01,Other,unknown,['item3'],No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,905f5dc1-ce95-11eb-bfa7-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,16,item3,Economics
17,male,09/10/1987,HT0111,2021-02-17,2021-02-17T15:07:34.576880Z,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),['item1'],No,unknown,Yes,Yes,ESIH,Finding a job/internship,905f84ab-ce95-11eb-8886-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,17,item1,Computer Science
18,female,02/05/1995,HT0111,2021-02-17,2021-02-17T16:23:26.040707Z,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),['item3'],No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,905f84ac-ce95-11eb-bf5f-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,18,item3,Economics
19,male,05/02/1992,HT0111,2021-02-17,2021-02-17T17:00:15.323464Z,HT01,Bachelors (bacc +4),Université INUKA,['item1'],No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,905fab9d-ce95-11eb-a1ed-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,19,item1,Computer Science
20,female,21/09/1995,HT0111,2021-02-18,2021-02-18T02:51:22.345396Z,HT01,Bachelors (bacc +4),other,['other'],Yes,Yes,Yes,Yes,Ayiti Analytics Website,Switching careers,905fab9e-ce95-11eb-a53d-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,20,other,other
21,male,20/07/1997,HT0111,2021-02-18,2021-02-18T12:31:36.110820Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),['other'],Yes,Yes,Yes,Yes,WhatsApp,Finding a job/internship,905fd65b-ce95-11eb-b835-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,21,other,other
22,male,05/12/1995,HT0111,2021-02-18,2021-02-18T18:25:49.799246Z,HT01,Bachelors (bacc +4),other,['other'],No,unknown,Yes,Yes,WhatsApp,Training to start my own company,905ff97f-ce95-11eb-a994-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,22,other,other
23,male,25/12/1993,HT0111,2021-02-19,2021-02-19T04:48:30.390251Z,HT01,Bachelors (bacc +4),other,['other'],Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,905ff980-ce95-11eb-98b7-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,23,other,other
24,female,09/12/1998,HT0111,2021-02-19,2021-02-19T15:05:57.007332Z,HT01,High School (16 years),unknown,['item8'],No,unknown,Yes,Yes,Friend,Training to start my own company,90602078-ce95-11eb-bc1d-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,24,item8,Medicine
25,male,28/02/2021,HT0111,2021-02-19,2021-02-19T16:36:01.701862Z,HT01,High School (16 years),unknown,['item1'],Yes,Yes,Yes,Yes,WhatsApp,Mentorship,906036c8-ce95-11eb-8c78-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,25,item1,Computer Science
26,male,26/10/1991,HT0111,2021-02-19,2021-02-19T16:36:50.278995Z,HT01,Bachelors (bacc +4),Université INUKA,['item1'],No,unknown,Yes,No,WhatsApp,Finding a job/internship,9060477c-ce95-11eb-ace3-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,26,item1,Computer Science
27,male,27/08/1986,HT0111,2021-02-19,2021-02-19T20:44:12.648461Z,HT01,Other,unknown,['item1'],Yes,Yes,Yes,Yes,WhatsApp,Switching careers,9060477d-ce95-11eb-ab2e-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,27,item1,Computer Science
28,male,13/02/1977,HT0111,2021-02-21,2021-02-21T22:33:55.442302Z,HT03,Bachelors (bacc +4),other,['item1'],No,unknown,Yes,Yes,Friend,Finding a job/internship,9060617e-ce95-11eb-bd26-7c67a234f601,,,,,,28,item1,Computer Science
29,male,23/08/1986,HT0111,2021-02-21,2021-02-21T22:53:29.419977Z,HT01,Masters,other,"['item6', 'other']",No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906073cb-ce95-11eb-acb0-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,29,item6,Management
29,male,23/08/1986,HT0111,2021-02-21,2021-02-21T22:53:29.419977Z,HT01,Masters,other,"['item6', 'other']",No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906073cb-ce95-11eb-acb0-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,30,other,other
30,male,13/01/1989,HT0111,2021-02-22,2021-02-22T01:50:26.945485Z,HT01,Bachelors (bacc +4),Université INUKA,['item1'],No,unknown,Yes,Yes,Friend,Improving my data analysis skills,906073cc-ce95-11eb-aac4-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,31,item1,Computer Science
31,female,14/04/2000,HT0111,2021-02-22,2021-02-22T21:47:38.898251Z,HT01,Other,unknown,['other'],No,unknown,Yes,No,Friend,Finding a job/internship,90609554-ce95-11eb-a24a-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,32,other,other
32,female,31/12/1998,HT0111,2021-02-22,2021-02-22T22:01:34.542321Z,HT01,Other,unknown,['item7'],No,unknown,Yes,No,Friend,Finding a job/internship,90609555-ce95-11eb-b61a-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,33,item7,Law
33,female,14/05/1995,HT0111,2021-02-23,2021-02-23T15:19:56.513868Z,HT01,Bachelors (bacc +4),other,['other'],Yes,Yes,Yes,Yes,Bootcamp Alumni,Finding a job/internship,9060c2e6-ce95-11eb-b8b8-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,34,other,other
34,female,04/10/1996,HT0111,2021-02-23,2021-02-23T17:29:42.775263Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),['item6'],No,unknown,Yes,Yes,WhatsApp,Switching careers,9060cbb2-ce95-11eb-bac1-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,35,item6,Management
35,male,,HT0111,2021-02-23,2021-02-23T21:17:28.855712Z,HT01,Other,unknown,['item8'],No,unknown,Yes,Yes,WhatsApp,Training to start my own company,9060e347-ce95-11eb-abbb-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,36,item8,Medicine
36,female,10/01/1997,HT0111,2021-02-23,2021-02-23T23:28:40.631987Z,HT01,Other,unknown,['other'],Yes,Yes,Yes,No,Bootcamp Alumni,Switching careers,90610a3c-ce95-11eb-a50e-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,37,other,other
37,female,22/04/1998,HT0111,2021-02-24,2021-02-24T12:10:24.262814Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),"['item6', 'item7']",No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,90611cd3-ce95-11eb-bebc-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,38,item6,Management
37,female,22/04/1998,HT0111,2021-02-24,2021-02-24T12:10:24.262814Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),"['item6', 'item7']",No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,90611cd3-ce95-11eb-bebc-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,39,item7,Law
38,male,26/06/1989,HT0111,2021-02-24,2021-02-24T13:29:35.128444Z,HT01,Bachelors (bacc +4),unknown,"['item5', 'item6', 'other']",No,unknown,Yes,Yes,Friend,Training to start my own company,90611cd4-ce95-11eb-a328-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,40,item5,Accounting
38,male,26/06/1989,HT0111,2021-02-24,2021-02-24T13:29:35.128444Z,HT01,Bachelors (bacc +4),unknown,"['item5', 'item6', 'other']",No,unknown,Yes,Yes,Friend,Training to start my own company,90611cd4-ce95-11eb-a328-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,41,item6,Management
38,male,26/06/1989,HT0111,2021-02-24,2021-02-24T13:29:35.128444Z,HT01,Bachelors (bacc +4),unknown,"['item5', 'item6', 'other']",No,unknown,Yes,Yes,Friend,Training to start my own company,90611cd4-ce95-11eb-a328-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,42,other,other
39,male,16/10/1996,HT0111,2021-02-24,2021-02-24T21:05:46.442865Z,HT01,Bachelors (bacc +4),other,['item6'],No,unknown,No,No,other,Improving my data analysis skills,9061312a-ce95-11eb-ba28-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,43,item6,Management
40,male,01/03/1996,HT0111,2021-02-25,2021-02-25T04:07:44.843396Z,HT01,Other,unknown,['item8'],No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90614c17-ce95-11eb-b604-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,44,item8,Medicine
41,male,11/11/1994,HT0111,2021-02-25,2021-02-25T17:05:05.962154Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),"['item1', 'other']",No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9061581f-ce95-11eb-af12-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,45,item1,Computer Science
41,male,11/11/1994,HT0111,2021-02-25,2021-02-25T17:05:05.962154Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),"['item1', 'other']",No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9061581f-ce95-11eb-af12-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,46,other,other
42,male,03/09/1989,HT0111,2021-02-25,2021-02-25T21:59:09.594346Z,HT01,Other,unknown,"['item5', 'other']",Yes,Yes,Yes,Yes,Facebook,Switching careers,90615820-ce95-11eb-9088-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,47,item5,Accounting
42,male,03/09/1989,HT0111,2021-02-25,2021-02-25T21:59:09.594346Z,HT01,Other,unknown,"['item5', 'other']",Yes,Yes,Yes,Yes,Facebook,Switching careers,90615820-ce95-11eb-9088-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,48,other,other
43,male,14/09/1996,HT0111,2021-02-28,2021-02-28T15:21:56.910886Z,HT01,High School (16 years),unknown,"['item2', 'item3']",No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906178f8-ce95-11eb-95e9-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,49,item2,Statistics
43,male,14/09/1996,HT0111,2021-02-28,2021-02-28T15:21:56.910886Z,HT01,High School (16 years),unknown,"['item2', 'item3']",No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906178f8-ce95-11eb-95e9-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,50,item3,Economics
44,male,13/12/1987,HT0111,2021-03-02,2021-03-02T18:43:17.761792Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),['item5'],Yes,Yes,Yes,Yes,Facebook,Improving my data analysis skills,90617f12-ce95-11eb-a3c8-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,51,item5,Accounting
45,male,13/10/1996,HT0111,2021-03-02,2021-03-02T18:58:04.716072Z,HT01,Other,unknown,['item7'],Yes,Yes,Yes,Yes,WhatsApp,other,90617f13-ce95-11eb-bc4e-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,52,item7,Law
46,male,10/12/2001,HT0111,2021-03-03,2021-03-03T00:51:40.622695Z,HT01,High School (16 years),unknown,['item6'],No,unknown,Yes,Yes,other,Finding a job/internship,9061a61c-ce95-11eb-ba30-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,53,item6,Management
47,female,01/11/1996,HT0111,2021-03-03,2021-03-03T15:15:26.637827Z,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),"['item2', 'item3']",No,unknown,Yes,Yes,other,Mentorship,9061a61d-ce95-11eb-a939-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,54,item2,Statistics
47,female,01/11/1996,HT0111,2021-03-03,2021-03-03T15:15:26.637827Z,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),"['item2', 'item3']",No,unknown,Yes,Yes,other,Mentorship,9061a61d-ce95-11eb-a939-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,55,item3,Economics
48,male,17/04/1996,HT0111,2021-03-03,2021-03-03T22:42:45.136937Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),['item3'],No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,9061d752-ce95-11eb-afc7-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,56,item3,Economics
49,male,31/07/2000,HT0111,2021-03-04,2021-03-04T00:47:43.600417Z,HT01,High School (16 years),unknown,"['item1', 'other']",No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9061d753-ce95-11eb-967a-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,57,item1,Computer Science
49,male,31/07/2000,HT0111,2021-03-04,2021-03-04T00:47:43.600417Z,HT01,High School (16 years),unknown,"['item1', 'other']",No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9061d753-ce95-11eb-967a-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,58,other,other
50,male,31/05/1995,HT0111,2021-03-08,2021-03-08T19:34:41.350669Z,HT01,Bachelors (bacc +4),other,['item1'],Yes,Yes,Yes,Yes,LinkedIn,Finding a job/internship,9061d754-ce95-11eb-a086-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,59,item1,Computer Science
51,male,05/12/1995,HT0111,2021-03-09,2021-03-09T17:52:36.737678Z,HT01,High School (16 years),unknown,['item1'],No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,9061f3ee-ce95-11eb-a9d9-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,60,item1,Computer Science
52,male,09/12/1997,HT0111,2021-03-10,2021-03-10T03:57:01.435111Z,HT01,Bachelors (bacc +4),unknown,['other'],No,unknown,Yes,Yes,WhatsApp,Training to start my own company,90620452-ce95-11eb-9ec8-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,61,other,other
53,male,19/10/1993,HT0111,2021-03-10,2021-03-10T10:53:17.282727Z,HT01,unknown,unknown,"['item4', 'item1', 'item6']",Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,90620453-ce95-11eb-bb57-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,62,item4,Electrical Engineering
53,male,19/10/1993,HT0111,2021-03-10,2021-03-10T10:53:17.282727Z,HT01,unknown,unknown,"['item4', 'item1', 'item6']",Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,90620453-ce95-11eb-bb57-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,63,item1,Computer Science
53,male,19/10/1993,HT0111,2021-03-10,2021-03-10T10:53:17.282727Z,HT01,unknown,unknown,"['item4', 'item1', 'item6']",Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,90620453-ce95-11eb-bb57-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,64,item6,Management
54,male,14/04/1986,HT0111,2021-03-10,2021-03-10T15:20:49.292922Z,HT01,Masters,Université INUKA,['item1'],No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,90621ae1-ce95-11eb-8a7d-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,65,item1,Computer Science
55,male,03/08/1990,HT0111,2021-03-10,2021-03-10T18:16:01.300172Z,HT01,Other,unknown,"['item4', 'item3']",No,unknown,Yes,No,LinkedIn,Improving my data analysis skills,90622d22-ce95-11eb-a50b-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,66,item4,Electrical Engineering
55,male,03/08/1990,HT0111,2021-03-10,2021-03-10T18:16:01.300172Z,HT01,Other,unknown,"['item4', 'item3']",No,unknown,Yes,No,LinkedIn,Improving my data analysis skills,90622d22-ce95-11eb-a50b-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,67,item3,Economics
57,male,05/05/1996,HT0111,2021-03-11,2021-03-11T20:22:03.513198Z,HT01,Bachelors (bacc +4),other,['item5'],Yes,Yes,Yes,Yes,LinkedIn,Improving my data analysis skills,906241d4-ce95-11eb-a1eb-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,68,item5,Accounting
58,male,,HT0111,2021-03-14,2021-03-14T07:29:17.391741Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),"['item1', 'item6']",No,unknown,Yes,Yes,ESIH,other,906241d5-ce95-11eb-9850-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,69,item1,Computer Science
58,male,,HT0111,2021-03-14,2021-03-14T07:29:17.391741Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),"['item1', 'item6']",No,unknown,Yes,Yes,ESIH,other,906241d5-ce95-11eb-9850-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,70,item6,Management
59,male,22/03/1992,HT0112,2021-02-16,2021-02-16T01:05:44.369906Z,HT01,Bachelors (bacc +4),other,['item1'],Yes,Yes,Yes,Yes,Bootcamp Alumni,unknown,90625b11-ce95-11eb-b351-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,71,item1,Computer Science
60,male,07/09/1996,HT0112,2021-02-16,2021-02-16T16:26:21.193172Z,HT01,Bachelors (bacc +4),other,"['item3', 'item6']",No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90626928-ce95-11eb-8f5e-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,72,item3,Economics
60,male,07/09/1996,HT0112,2021-02-16,2021-02-16T16:26:21.193172Z,HT01,Bachelors (bacc +4),other,"['item3', 'item6']",No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90626928-ce95-11eb-8f5e-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,73,item6,Management
61,male,28/07/1994,HT0112,2021-02-16,2021-02-16T16:27:10.480937Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),['item1'],No,unknown,Yes,No,Friend,Training to start my own company,90626929-ce95-11eb-86fe-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,74,item1,Computer Science
62,male,25/06/1997,HT0112,2021-02-16,2021-02-16T16:36:10.222230Z,HT01,High School (16 years),unknown,['item6'],No,unknown,Yes,No,Friend,Improving my data analysis skills,9062692a-ce95-11eb-8ab8-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,75,item6,Management
63,male,30/10/1995,HT0112,2021-02-16,2021-02-16T17:00:03.452762Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),"['item6', 'item3']",No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,90628a02-ce95-11eb-9291-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,76,item6,Management
63,male,30/10/1995,HT0112,2021-02-16,2021-02-16T17:00:03.452762Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),"['item6', 'item3']",No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,90628a02-ce95-11eb-9291-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,77,item3,Economics
64,female,23/08/1998,HT0112,2021-02-16,2021-02-16T17:02:05.952877Z,HT01,Other,unknown,['other'],No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90628fbe-ce95-11eb-bb9e-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,78,other,other
65,male,17/05/1997,HT0112,2021-02-16,2021-02-16T17:12:01.065929Z,HT01,Other,unknown,"['item2', 'item3']",No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,90628fbf-ce95-11eb-819c-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,79,item2,Statistics
65,male,17/05/1997,HT0112,2021-02-16,2021-02-16T17:12:01.065929Z,HT01,Other,unknown,"['item2', 'item3']",No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,90628fbf-ce95-11eb-819c-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,80,item3,Economics
66,male,25/12/1998,HT0112,2021-02-16,2021-02-16T17:12:43.245003Z,HT01,High School (16 years),unknown,['item1'],No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90628fc0-ce95-11eb-8dae-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,81,item1,Computer Science
67,male,01/10/1995,HT0112,2021-02-16,2021-02-16T17:15:53.886054Z,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),['other'],No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9062b753-ce95-11eb-8959-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,82,other,other
68,male,31/03/1996,HT0112,2021-02-16,2021-02-16T17:41:52.503431Z,HT01,High School (16 years),unknown,['other'],No,unknown,Yes,Yes,Instagram,Finding a job/internship,9062b754-ce95-11eb-b31e-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,83,other,other
69,female,20/09/1993,HT0112,2021-02-16,2021-02-16T21:06:25.265050Z,HT01,Bachelors (bacc +4),other,['item6'],No,unknown,No,Yes,WhatsApp,Improving my data analysis skills,9062b755-ce95-11eb-85a2-7c67a234f601,Delmas,Delmas,HT0112,West,HT01,84,item6,Management
